State,Code,Population,violent.crime,murder,rape,robbery,aggravated.assault,property.crime,burglary,theft,motor.vehicle.theft
ALABAMA,AL,2392789,14324,228,1154,3576,9433,110445,26399,77067,6979
ALASKA,AK,473660,3498,16,553,599,2330,17776,1924,14577,1275
ARIZONA,AZ,4867945,21161,248,60,6132,13247,181403,37936,129979,13488
ARKANSAS,AR,1617882,9181,103,874,1892,6312,74226,19363,51346,3517
CALIFORNIA,CA,31696400,124598,1400,0,48035,69099,869985,190417,539803,139765
COLORADO,CO,3658311,13438,134,2291,2923,8090,116633,20321,85753,10559
CONNECTICUT,CT,3058728,8795,80,420,3466,4576,65542,11520,48240,5782
DELAWARE,DE,252549,2148,21,113,687,1327,11154,1995,8576,583
FLORIDA,FL,9372371,53138,575,3397,15720,33446,359281,76450,262253,20592
GEORGIA,GA,3471843,18151,282,0,6639,10434,158064,34513,111589,11962
IDAHO,ID,948949,2352,11,438,183,1720,22527,4262,17206,1059
ILLINOIS,IL,10062014,18679,616,145,16699,11756,250339,47633,184193,18513
INDIANA,IN,3330336,18751,287,916,6475,10601,134414,30285,93080,11049
IOWA,IA,1782187,6112,27,797,839,4449,53901,11358,39214,3329
KANSAS,KS,1999750,7967,76,698,1259,5746,69079,13029,50404,5646
KENTUCKY,KY,2301467,7246,100,677,2964,3345,82064,17908,59516,4640
LOUISIANA,LA,1874385,13514,324,10,4069,8472,89543,22168,62251,5124
MAINE,ME,846180,1291,12,138,297,682,23616,4201,18810,605
MARYLAND,MD,1298306,11862,253,0,4787,6387,53055,11438,36016,5601
MASSACHUSETTS,MA,6455480,25991,133,1720,6394,17445,129599,29556,91176,8867
MICHIGAN,MI,5574769,33749,532,3490,9022,20705,160829,38454,101283,21092
MINNESOTA,MN,3836664,10989,94,1550,3594,5751,110641,17898,85979,6764
MISSISSIPPI,MS,880387,3772,96,89,1565,1753,39950,10610,27136,2204
MISSOURI,MO,3732010,21347,305,1797,5104,14141,152914,28641,110672,13601
MONTANA,MY,448912,1290,10,217,170,893,17592,2498,14032,1062
NEBRASKA,NE,1171794,4177,50,198,1007,2554,40647,7068,29621,3958
NEVADA,NV,2399071,15196,140,0,5094,8981,71226,20799,40951,9476
NEW HAMPSHIRE,NH,1171682,2574,21,610,625,1318,26208,4343,21026,839
NEW JERSEY,NJ,8409760,22708,337,0,11054,10547,154721,33213,108560,12948
NEW MEXICO,NM,975669,6921,63,0,1339,4827,47774,11083,32848,3843
NEW YORK,NY,13933096,70155,545,0,25370,42199,275827,41650,221682,12495
NORTH CAROLINA,NC,4426102,21119,257,0,6818,13026,179769,44312,127117,8340
NORTH DAKOTA,ND,446217,1326,6,234,144,942,11510,2023,8579,908
OHIO,OH,5727563,22605,313,1903,10360,9668,191959,53852,132054,12474
OKLAHOMA,OK,2699411,14786,163,218,2906,10185,107022,27445,70018,9559
OREGON,OR,2522846,7332,45,337,2158,4312,97937,14628,75616,7693
PENNSYLVANIA,PA,9182419,35864,498,2754,13491,19121,207075,37790,157719,11566
RHODE ISLAND,RI,1044935,2642,31,408,678,1525,25015,5507,17360,2148
SOUTH CAROLINA,SC,1542253,9543,120,785,2113,6525,76402,13766,58146,4490
SOUTH DAKOTA,SD,484973,1572,6,337,133,1096,12113,2212,9293,608
TENNESSEE,TN,3609335,30282,261,1752,6786,21483,154441,34695,111344,8402
TEXAS,TX,18536353,85917,843,1484,27177,51497,699459,143623,502618,53218
UTAH,UT,1949521,4575,32,968,928,2555,58319,9107,45016,5167
VERMONT,VT,227219,314,2,33,38,241,5739,1173,4410,156
VIRGINIA,VA,2993410,9632,193,1031,3015,5393,90892,15006,71044,4842
WASHINGTON,WA,4203707,15006,100,1218,5019,8235,192461,37927,132417,22117
WEST VIRGINIA,WV,291651,917,6,91,141,679,7842,1442,6133,267
WISCONSIN,WI,3758820,14192,143,677,4702,8127,103899,18574,78894,6431
WYOMING,WY,364259,803,6,0,70,633,10205,1422,8375,408
